,price,Sum_Aggrav,Sum_Aircra,Sum_Arson,Sum_Assemb,Sum_Auto_T,Sum_Auto_1,Sum_Ballis,Sum_Bomb_H,Sum_Commer,Sum_Crimin,Sum_Disord,Sum_Drug_V,Sum_Explos,Sum_Firear,Sum_HOME_I,Sum_Harass,Sum_Homici,Sum_Mansla,Sum_Offens,Sum_Reside,Sum_Robber,Sum_Search,Sum_Simple,Sum_Vandal,Sum_Warran
85,225.0,363.0,0.0,0.0,0.0,66.0,33.0,0.0,11.0,22.0,0.0,209.0,2156.0,0.0,121.0,0.0,253.0,11.0,0.0,11.0,33.0,154.0,99.0,660.0,319.0,506.0
86,80.0,171.0,0.0,0.0,36.0,36.0,0.0,63.0,0.0,0.0,9.0,27.0,144.0,0.0,90.0,9.0,45.0,0.0,0.0,18.0,36.0,18.0,0.0,378.0,207.0,99.0
87,90.0,162.0,0.0,0.0,621.0,135.0,54.0,0.0,0.0,0.0,0.0,135.0,81.0,0.0,27.0,0.0,162.0,0.0,0.0,0.0,621.0,54.0,27.0,486.0,459.0,162.0
88,85.0,240.0,0.0,0.0,510.0,180.0,0.0,0.0,30.0,30.0,0.0,150.0,120.0,0.0,60.0,0.0,240.0,0.0,0.0,60.0,570.0,30.0,30.0,930.0,360.0,210.0
89,239.0,455.0,0.0,0.0,1365.0,182.0,91.0,91.0,0.0,273.0,0.0,0.0,273.0,0.0,91.0,0.0,455.0,0.0,0.0,0.0,1365.0,364.0,0.0,1365.0,1001.0,364.0
90,95.0,475.0,0.0,0.0,25.0,175.0,25.0,225.0,0.0,50.0,0.0,25.0,675.0,0.0,150.0,0.0,250.0,25.0,0.0,50.0,300.0,325.0,50.0,900.0,675.0,575.0
91,79.5,900.0,0.0,0.0,0.0,360.0,120.0,60.0,0.0,60.0,0.0,180.0,1840.0,0.0,80.0,0.0,380.0,20.0,0.0,60.0,360.0,320.0,20.0,1340.0,1280.0,880.0
92,95.0,1314.0,0.0,0.0,438.0,511.0,146.0,146.0,0.0,146.0,0.0,219.0,438.0,0.0,219.0,73.0,876.0,0.0,0.0,73.0,949.0,219.0,219.0,2628.0,1533.0,584.0
93,79.0,208.0,0.0,0.0,0.0,156.0,78.0,78.0,0.0,52.0,0.0,52.0,208.0,0.0,52.0,0.0,104.0,0.0,0.0,26.0,182.0,0.0,52.0,442.0,442.0,130.0
94,110.0,602.0,0.0,0.0,0.0,266.0,42.0,28.0,0.0,28.0,0.0,70.0,294.0,0.0,56.0,14.0,252.0,0.0,0.0,14.0,154.0,168.0,28.0,1148.0,728.0,252.0
95,38.0,930.0,0.0,0.0,62.0,496.0,93.0,93.0,0.0,0.0,0.0,0.0,589.0,0.0,62.0,0.0,155.0,31.0,0.0,31.0,496.0,279.0,155.0,1054.0,992.0,403.0
96,39.0,864.0,0.0,0.0,36.0,540.0,108.0,180.0,0.0,0.0,0.0,0.0,612.0,0.0,72.0,0.0,648.0,108.0,0.0,36.0,648.0,432.0,252.0,1404.0,1548.0,252.0
97,68.0,100.0,0.0,0.0,0.0,55.0,20.0,5.0,0.0,10.0,0.0,5.0,80.0,0.0,10.0,0.0,65.0,0.0,0.0,0.0,60.0,20.0,25.0,190.0,100.0,35.0
98,88.0,340.0,0.0,10.0,0.0,180.0,30.0,60.0,0.0,10.0,0.0,30.0,220.0,10.0,70.0,10.0,160.0,0.0,0.0,50.0,120.0,110.0,60.0,450.0,510.0,180.0
99,60.0,290.0,0.0,0.0,5.0,105.0,35.0,40.0,5.0,25.0,0.0,60.0,260.0,0.0,70.0,0.0,65.0,15.0,0.0,10.0,70.0,110.0,50.0,345.0,325.0,155.0
100,60.0,80.0,0.0,0.0,0.0,80.0,64.0,16.0,0.0,8.0,0.0,8.0,168.0,0.0,72.0,0.0,72.0,16.0,0.0,8.0,72.0,56.0,24.0,296.0,328.0,120.0
101,80.0,32.0,0.0,1.0,2.0,9.0,4.0,3.0,0.0,3.0,0.0,3.0,41.0,0.0,5.0,0.0,13.0,0.0,0.0,1.0,10.0,11.0,4.0,63.0,28.0,23.0
102,77.5,296.0,0.0,0.0,0.0,112.0,24.0,56.0,0.0,8.0,8.0,32.0,192.0,0.0,48.0,8.0,200.0,32.0,0.0,8.0,152.0,88.0,40.0,328.0,328.0,136.0
103,60.0,170.0,0.0,0.0,0.0,110.0,60.0,30.0,0.0,30.0,20.0,10.0,180.0,0.0,50.0,0.0,70.0,0.0,0.0,10.0,50.0,50.0,0.0,200.0,230.0,80.0
104,100.0,884.0,0.0,0.0,104.0,1144.0,364.0,52.0,0.0,416.0,0.0,104.0,2548.0,0.0,260.0,0.0,364.0,0.0,0.0,104.0,676.0,520.0,104.0,2600.0,1716.0,2444.0
105,69.0,45.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,30.0,0.0,0.0,5.0,0.0,20.0,0.0,0.0,10.0,15.0,0.0,0.0,85.0,20.0,5.0
106,79.0,410.0,0.0,0.0,0.0,410.0,164.0,41.0,0.0,123.0,0.0,41.0,738.0,0.0,41.0,0.0,123.0,0.0,0.0,0.0,410.0,123.0,0.0,820.0,1107.0,287.0
107,76.5,400.0,0.0,0.0,0.0,480.0,40.0,0.0,0.0,120.0,0.0,80.0,760.0,0.0,0.0,0.0,240.0,0.0,0.0,0.0,440.0,120.0,0.0,1280.0,1040.0,240.0
108,84.5,280.0,0.0,0.0,0.0,182.0,28.0,42.0,0.0,14.0,14.0,28.0,644.0,0.0,126.0,0.0,56.0,0.0,0.0,14.0,112.0,140.0,14.0,420.0,336.0,322.0
109,70.0,56.0,0.0,0.0,0.0,44.0,0.0,24.0,0.0,4.0,0.0,0.0,48.0,0.0,20.0,0.0,28.0,4.0,0.0,0.0,24.0,16.0,0.0,64.0,108.0,40.0
110,102.5,84.0,0.0,6.0,0.0,36.0,18.0,6.0,0.0,0.0,0.0,6.0,168.0,0.0,48.0,0.0,66.0,12.0,0.0,6.0,6.0,18.0,18.0,168.0,138.0,84.0
111,65.0,667.0,0.0,0.0,29.0,551.0,87.0,174.0,0.0,0.0,0.0,29.0,1450.0,29.0,290.0,0.0,377.0,58.0,0.0,87.0,667.0,290.0,116.0,1392.0,1160.0,290.0
112,60.0,85.0,0.0,0.0,0.0,100.0,15.0,20.0,0.0,5.0,5.0,15.0,130.0,0.0,20.0,5.0,30.0,0.0,0.0,10.0,40.0,45.0,5.0,175.0,220.0,110.0
113,65.0,216.0,0.0,0.0,18.0,234.0,54.0,72.0,0.0,0.0,0.0,36.0,126.0,0.0,54.0,0.0,126.0,0.0,0.0,36.0,270.0,180.0,72.0,630.0,648.0,216.0
114,45.0,546.0,0.0,0.0,21.0,210.0,63.0,84.0,0.0,42.0,0.0,84.0,441.0,0.0,105.0,42.0,84.0,21.0,0.0,0.0,273.0,273.0,21.0,1113.0,1281.0,546.0
115,92.5,140.0,0.0,12.0,0.0,68.0,20.0,20.0,0.0,20.0,4.0,16.0,60.0,0.0,24.0,0.0,44.0,4.0,0.0,8.0,36.0,52.0,0.0,216.0,260.0,52.0
116,64.5,360.0,0.0,0.0,12.0,120.0,24.0,60.0,12.0,36.0,0.0,24.0,228.0,0.0,72.0,0.0,216.0,36.0,0.0,24.0,240.0,168.0,60.0,648.0,720.0,192.0
117,105.0,462.0,0.0,0.0,22.0,638.0,132.0,44.0,0.0,22.0,0.0,44.0,2112.0,0.0,176.0,0.0,330.0,0.0,0.0,22.0,550.0,352.0,66.0,1188.0,1386.0,726.0
118,81.0,527.0,0.0,17.0,17.0,289.0,0.0,51.0,0.0,17.0,0.0,170.0,646.0,0.0,136.0,0.0,170.0,34.0,0.0,17.0,153.0,306.0,51.0,935.0,765.0,323.0
119,110.0,104.0,0.0,0.0,0.0,48.0,12.0,8.0,0.0,12.0,0.0,36.0,36.0,0.0,36.0,4.0,40.0,0.0,0.0,12.0,16.0,44.0,4.0,228.0,176.0,44.0
120,105.0,102.0,0.0,0.0,0.0,57.0,15.0,33.0,0.0,18.0,0.0,12.0,54.0,0.0,36.0,0.0,54.0,3.0,0.0,6.0,33.0,27.0,30.0,204.0,153.0,45.0
121,77.5,44.0,0.0,0.0,0.0,22.0,6.0,8.0,0.0,0.0,0.0,6.0,34.0,0.0,10.0,0.0,32.0,0.0,0.0,6.0,22.0,20.0,10.0,78.0,62.0,20.0
122,85.0,119.0,0.0,0.0,14.0,84.0,7.0,49.0,0.0,7.0,0.0,7.0,98.0,0.0,21.0,0.0,70.0,28.0,0.0,7.0,42.0,28.0,0.0,196.0,224.0,35.0
123,50.0,525.0,0.0,0.0,25.0,250.0,50.0,100.0,0.0,0.0,0.0,75.0,475.0,0.0,100.0,0.0,425.0,0.0,0.0,25.0,225.0,225.0,25.0,1275.0,1600.0,200.0
124,61.0,1056.0,0.0,0.0,0.0,506.0,66.0,198.0,0.0,44.0,22.0,286.0,572.0,0.0,198.0,0.0,352.0,66.0,0.0,0.0,440.0,902.0,44.0,2288.0,2090.0,308.0
125,113.0,52.0,0.0,0.0,0.0,65.0,26.0,39.0,0.0,0.0,0.0,13.0,52.0,0.0,0.0,0.0,39.0,0.0,0.0,13.0,130.0,52.0,0.0,195.0,364.0,39.0
126,112.5,12.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,14.0,0.0,0.0,24.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,8.0,4.0,0.0,12.0,24.0,10.0
127,64.0,10.0,0.0,0.0,0.0,10.0,15.0,0.0,0.0,10.0,0.0,5.0,80.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,10.0,5.0,0.0,60.0,100.0,50.0
128,59.5,70.0,0.0,0.0,0.0,130.0,10.0,10.0,0.0,0.0,0.0,10.0,130.0,0.0,20.0,10.0,70.0,0.0,0.0,0.0,50.0,60.0,0.0,190.0,190.0,70.0
129,70.0,264.0,0.0,0.0,22.0,176.0,0.0,22.0,22.0,44.0,0.0,44.0,154.0,0.0,44.0,0.0,88.0,22.0,0.0,66.0,308.0,110.0,0.0,638.0,638.0,154.0
130,65.0,182.0,0.0,0.0,0.0,91.0,56.0,14.0,0.0,7.0,0.0,14.0,217.0,0.0,56.0,0.0,119.0,28.0,0.0,0.0,91.0,154.0,28.0,357.0,336.0,105.0
131,80.0,198.0,0.0,0.0,0.0,30.0,24.0,24.0,0.0,36.0,0.0,0.0,180.0,0.0,48.0,0.0,114.0,0.0,0.0,0.0,96.0,30.0,18.0,240.0,198.0,72.0
132,105.5,28.0,0.0,0.0,0.0,24.0,4.0,0.0,0.0,2.0,0.0,2.0,22.0,0.0,8.0,0.0,18.0,8.0,0.0,2.0,8.0,12.0,10.0,56.0,60.0,8.0
133,52.0,190.0,0.0,0.0,0.0,65.0,30.0,40.0,5.0,20.0,0.0,15.0,80.0,0.0,35.0,0.0,110.0,10.0,0.0,10.0,65.0,120.0,20.0,430.0,375.0,85.0
134,88.0,272.0,0.0,0.0,34.0,272.0,0.0,34.0,0.0,0.0,0.0,0.0,1224.0,0.0,34.0,0.0,374.0,0.0,0.0,0.0,170.0,170.0,136.0,884.0,952.0,272.0
135,56.0,36.0,0.0,0.0,0.0,30.0,0.0,0.0,6.0,0.0,0.0,18.0,48.0,0.0,12.0,6.0,48.0,0.0,0.0,0.0,6.0,18.0,0.0,72.0,60.0,30.0
136,187.0,42.0,0.0,0.0,0.0,36.0,6.0,12.0,0.0,6.0,0.0,18.0,48.0,0.0,6.0,0.0,6.0,0.0,0.0,6.0,42.0,6.0,0.0,102.0,42.0,18.0
137,52.5,32.0,0.0,4.0,4.0,32.0,0.0,4.0,0.0,0.0,0.0,8.0,40.0,0.0,4.0,0.0,20.0,0.0,0.0,0.0,8.0,20.0,4.0,88.0,84.0,8.0
138,75.0,36.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,0.0,18.0,18.0,216.0,0.0,0.0,18.0,108.0,18.0,36.0,198.0,144.0,54.0
139,70.0,33.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,22.0,11.0,0.0,44.0,22.0,22.0
140,67.0,210.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,105.0,0.0,42.0,315.0,0.0,0.0,0.0,147.0,0.0,0.0,0.0,63.0,105.0,63.0,378.0,441.0,63.0
141,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
142,82.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,108.0,0.0,0.0,0.0,234.0,0.0,0.0,0.0,54.0,0.0,0.0,144.0,54.0,18.0
143,180.0,92.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,23.0,46.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,46.0,0.0,0.0,46.0,92.0,46.0
144,120.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,20.0,0.0,60.0,120.0,40.0
145,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,11.0,33.0,22.0,11.0
146,145.0,329.0,0.0,0.0,47.0,282.0,47.0,0.0,0.0,94.0,0.0,47.0,705.0,0.0,94.0,0.0,329.0,47.0,0.0,47.0,517.0,141.0,0.0,1081.0,752.0,282.0
147,86.0,832.0,0.0,0.0,64.0,896.0,0.0,192.0,0.0,192.0,0.0,128.0,7616.0,0.0,128.0,64.0,448.0,0.0,0.0,0.0,1024.0,448.0,256.0,1664.0,1728.0,960.0
148,145.0,177.0,0.0,0.0,0.0,295.0,295.0,0.0,59.0,0.0,59.0,118.0,531.0,0.0,0.0,0.0,413.0,0.0,0.0,0.0,1003.0,0.0,0.0,1416.0,885.0,472.0
149,90.0,190.0,0.0,0.0,19.0,57.0,0.0,0.0,0.0,38.0,0.0,38.0,418.0,0.0,76.0,0.0,76.0,57.0,0.0,0.0,209.0,95.0,19.0,342.0,152.0,285.0
150,145.0,93.0,0.0,0.0,0.0,155.0,31.0,0.0,0.0,31.0,0.0,0.0,155.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,155.0,31.0,0.0,124.0,248.0,248.0
151,95.0,24.0,0.0,0.0,0.0,72.0,24.0,12.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,84.0,36.0,0.0,48.0,48.0,24.0
152,90.0,36.0,0.0,0.0,9.0,9.0,0.0,9.0,0.0,18.0,0.0,27.0,36.0,0.0,18.0,0.0,63.0,0.0,0.0,0.0,18.0,27.0,0.0,171.0,63.0,18.0
153,137.5,30.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,12.0,6.0,6.0,18.0,0.0,12.0,0.0,30.0,0.0,0.0,0.0,6.0,12.0,0.0,120.0,72.0,12.0
154,60.0,17.0,0.0,0.0,0.0,34.0,17.0,17.0,0.0,0.0,0.0,17.0,1343.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,85.0,17.0,51.0,102.0,153.0,34.0
155,80.0,165.0,0.0,0.0,0.0,75.0,15.0,0.0,0.0,105.0,15.0,15.0,15.0,0.0,0.0,0.0,75.0,0.0,0.0,30.0,30.0,75.0,15.0,330.0,180.0,0.0
156,44.0,7.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,7.0,0.0,7.0,112.0,0.0,14.0,0.0,56.0,0.0,0.0,0.0,49.0,14.0,0.0,84.0,84.0,21.0
157,55.0,40.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,8.0,52.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,44.0,0.0,0.0,84.0,76.0,16.0
158,447.5,28.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,4.0,0.0,2.0,20.0,2.0,2.0,0.0,28.0,0.0,0.0,2.0,6.0,2.0,8.0,48.0,66.0,6.0
159,51.0,14.0,0.0,0.0,0.0,21.0,14.0,7.0,0.0,0.0,0.0,14.0,63.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,14.0,0.0,14.0,105.0,126.0,14.0
160,45.0,21.0,0.0,0.0,0.0,21.0,7.0,7.0,0.0,0.0,0.0,7.0,28.0,0.0,0.0,0.0,49.0,0.0,0.0,7.0,84.0,0.0,14.0,56.0,63.0,21.0
161,95.0,12.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,10.0,0.0,0.0,2.0,8.0,2.0,2.0,20.0,24.0,2.0
162,44.0,40.0,0.0,0.0,0.0,30.0,20.0,0.0,0.0,40.0,0.0,30.0,150.0,0.0,0.0,0.0,120.0,0.0,0.0,10.0,60.0,70.0,10.0,110.0,70.0,50.0
163,65.0,180.0,0.0,0.0,0.0,63.0,36.0,18.0,0.0,9.0,9.0,9.0,63.0,0.0,9.0,0.0,171.0,0.0,0.0,9.0,81.0,45.0,9.0,252.0,414.0,27.0
164,71.0,312.0,0.0,0.0,26.0,182.0,91.0,65.0,0.0,39.0,0.0,78.0,676.0,0.0,13.0,13.0,286.0,26.0,0.0,13.0,39.0,91.0,117.0,611.0,663.0,169.0
165,75.0,240.0,0.0,0.0,15.0,120.0,30.0,45.0,0.0,0.0,0.0,75.0,465.0,0.0,60.0,0.0,360.0,30.0,0.0,0.0,135.0,75.0,15.0,540.0,585.0,195.0
166,90.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0
167,93.5,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,16.0,20.0,4.0
168,628.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,6.0,2.0
169,262.5,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,8.0,32.0,4.0
170,75.0,0.0,84.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,24.0,0.0
171,200.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,0.0
172,185.0,8.0,0.0,0.0,32.0,4.0,0.0,0.0,0.0,6.0,0.0,14.0,30.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,2.0,14.0,0.0,48.0,12.0,10.0
173,219.0,99.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,66.0,165.0,0.0,297.0,66.0,198.0
