LON,LAT,MEDV
-71.083,42.2172,17.8
-71.095,42.212,21.7
-71.1,42.21,22.7
-71.093,42.207,22.6
-71.09,42.2033,25
-71.086,42.21,19.9
-71.081,42.208,20.8
-71.086,42.215,16.8
-71.059,42.2098,21.9
-71.059,42.2075,27.5
-71.054,42.2052,21.9
-71.05,42.207,23.1
-71.048,42.2105,50
-71.049,42.2125,50
-71.042,42.2144,50
-71.041,42.216,50
-71.039,42.2182,50
-71.033,42.2207,13.8
-71.034,42.2187,13.8
-71.036,42.224,15
-71.034,42.226,13.9
-71.038,42.2265,13.3
-71.04,42.2248,13.1
-71.04,42.2275,10.2
-71.046,42.23,10.4
-71.041,42.229,10.9
-71.023,42.2287,11.3
-71.021,42.227,12.3
-71.024,42.2235,8.8
-71.023,42.2213,7.2
-71.022,42.2231,10.5
-71.021,42.2248,7.4
-71.019,42.2255,10.2
-71.016,42.2281,11.5
-71.01,42.23,15.1
-71.003,42.233,23.2
-71.02,42.2205,9.7
-71.016,42.201,13.8
-71.02,42.1993,12.7
-71.022,42.1996,13.1
-71.026,42.1993,12.5
-71.025,42.2024,8.5
-71.023,42.209,5
-71.033,42.2032,6.3
-71.032,42.2011,5.6
-71.03,42.2015,7.2
-71.03,42.1988,12.1
-71.033,42.198,8.3
-71.034,42.2001,8.5
-71.032,42.2057,5
-71.039,42.2198,11.9
-71.042,42.209,27.9
-71.043,42.205,17.2
-71.045,42.206,27.5
-71.046,42.2075,15
-71.048,42.2048,17.2
-71.047,42.203,17.9
-71.045,42.2015,16.3
-71.042,42.1985,7
-71.045,42.1953,7.2
-71.047,42.1965,7.5
-71.049,42.2007,10.4
-71.052,42.1989,8.8
-71.058,42.1999,8.4
-71.061,42.199,16.7
-71.065,42.2018,14.2
-71.066,42.197,20.8
-71.061,42.1948,13.4
-71.059,42.192,11.7
-71.057,42.1967,8.3
-71.055,42.1937,10.2
-71.054,42.1961,10.9
-71.052,42.194,11
-71.048,42.192,9.5
-71.054,42.189,14.5
-71.05,42.188,14.1
-71.052,42.1854,16.1
-71.049,42.1815,14.3
-71.047,42.1842,11.7
-71.046,42.1867,13.4
-71.045,42.1893,9.6
-71.044,42.1917,8.7
-71.044,42.1938,8.4
-71.037,42.194,12.8
-71.032,42.1925,10.5
-71.034,42.185,17.1
-71.034,42.189,18.4
-71.037,42.1892,15.4
-71.04,42.192,10.8
-71.042,42.189,11.8
-71.039,42.1868,14.9
-71.037,42.184,12.6
-71.04,42.182,14.1
-71.042,42.1845,13
-71.046,42.181,13.4
-71.041,42.1795,15.2
-71.034,42.179,16.1
-71.04,42.177,17.8
-71.045,42.1768,14.9
-71.051,42.178,14.1
-71.051,42.1735,12.7
-71.051,42.17,13.5
-71.047,42.169,14.9
-71.043,42.169,20
-71.043,42.1728,16.4
-71.035,42.1745,17.7
-71.031,42.1695,19.5
-71.035,42.1675,20.2
-71.045,42.164,21.4
-71.055,42.165,19.9
-71.055,42.1685,19
-71.066,42.178,19.1
-71.07,42.168,19.1
-71.069,42.1725,20.1
-71.074,42.168,19.9
-71.082,42.1698,19.6
-71.083,42.175,23.2
-71.0189,42.184,29.8
-71.0228,42.183,13.8
-71.0245,42.1879,13.3
-71.016,42.188,16.7
-71.0297,42.192,12
-71.0125,42.1913,14.6
-71.0125,42.1945,21.4
-71.0105,42.174,23
-71.001,42.173,23.7
-70.9947,42.1665,25
-71.005,42.1608,21.8
-70.9985,42.154,20.6
-70.992,42.1455,21.2
-70.986,42.155,19.1
-70.991,42.161,20.6
-70.9948,42.2344,15.2
-70.9875,42.2335,7
-70.9825,42.2368,8.1
-70.955,42.2382,13.6
-70.95,42.2447,20.1
-70.936,42.2462,21.8
-70.928,42.25,24.5
-70.922,42.2547,23.1
-70.9165,42.2525,19.7
-70.936,42.2496,18.3
-70.9375,42.2455,21.2
-70.933,42.243,17.5
-70.929,42.238,16.8
-70.935,42.2312,22.4
-70.944,42.2275,20.6
-70.951,42.226,23.9
-70.9645,42.224,22
-70.972,42.221,11.9
-70.9765,42.255,24
-70.987,42.2875,21.6
-70.978,42.283,34.7
-70.9925,42.293,33.4
-70.988,42.298,36.2
-70.9835,42.304,28.7
-70.982,42.297,22.9
-70.9775,42.31,27.1
-70.973,42.312,16.5
-70.9693,42.316,18.9
-70.964,42.316,15
-70.9597,42.317,18.9
-70.9597,42.306,21.7
-70.957,42.292,20.4
-70.951,42.287,18.2
-70.967,42.294,19.9
-70.964,42.2985,23.1
-70.972,42.285,17.5
-70.9795,42.2825,20.2
-70.9775,42.2776,18.2
-71,42.277,13.6
-71.008,42.281,19.6
-71.004,42.279,15.2
-71.02,42.279,14.5
-71.013,42.2816,15.6
-71.03,42.284,13.9
-71.004,42.287,16.6
-71.003,42.2825,14.8
-70.9775,42.28,18.4
-70.9675,42.278,21
-70.9725,42.279,12.7
-70.965,42.2765,14.5
-70.956,42.2765,13.2
-70.955,42.276,13.1
-70.9525,42.272,13.5
-70.951,42.27,18.9
-70.963,42.2745,20
-70.958,42.2865,21
-70.978,42.2875,24.7
-71.0175,42.313,30.8
-70.9625,42.324,34.9
-70.93,42.335,26.6
-70.9295,42.3235,25.3
-70.9385,42.3237,24.7
-70.94,42.317,21.2
-70.93,42.3075,19.3
-70.93,42.3075,20
-70.9215,42.3125,16.6
-70.9075,42.3165,14.4
-70.86,42.3208,19.4
-71.045,42.334,19.7
-71.069,42.3382,20.5
-71.09,42.346,25
-71.108,42.3425,23.4
-71.111,42.3715,18.9
-71.121,42.381,35.4
-71.1095,42.374,24.7
-71.13,42.3715,31.6
-71.123,42.346,23.3
-71.1105,42.332,19.6
-71.1,42.337,18.7
-71.09,42.3275,16
-71.076,42.332,22.2
-71.0905,42.339,25
-71.091,42.345,33
-71.0685,42.345,23.5
-71.069,42.3525,19.4
-71.0675,42.3362,22
-71.0575,42.34,17.4
-71.043,42.327,20.9
-71.05,42.316,24.2
-71.033,42.3008,21.7
-71.039,42.305,22.8
-71.042,42.292,23.4
-71.0345,42.289,24.1
-71.03,42.2875,21.4
-71.0425,42.2835,20
-71.053,42.2895,20.8
-71.062,42.295,21.2
-71.0615,42.305,20.3
-71.076,42.308,28
-71.085,42.315,23.9
-71.089,42.326,24.8
-71.0982,42.317,22.9
-71.08,42.3075,23.9
-71.0668,42.3,26.6
-71.081,42.305,22.5
-71.0812,42.2885,22.2
-71.077,42.2796,23.6
-71.069,42.2785,28.7
-71.0662,42.272,22.6
-71.0622,42.2715,22
-71.0553,42.283,22.9
-71.055,42.296,25
-71.06,42.284,20.6
-71.056,42.2775,28.4
-71.0475,42.2775,21.4
-71.049,42.2715,38.7
-71.0428,42.2685,43.8
-71.0396,42.268,33.2
-71.0355,42.2545,27.5
-71.036,42.245,26.5
-71.0285,42.2515,18.6
-71.0285,42.249,19.3
-71.019,42.248,20.1
-71.0243,42.2425,19.5
-71.0312,42.2431,19.5
-71.0377,42.2465,20.4
-71.037,42.2505,19.8
-71.0308,42.254,19.4
-71.0262,42.2605,21.7
-71.0333,42.261,22.8
-71.053,42.253,18.8
-71.058,42.258,18.7
-71.0638,42.2512,18.5
-71.0692,42.2545,18.3
-71.075,42.2608,21.2
-71.0745,42.262,19.2
-71.079,42.258,20.4
-71.076,42.2605,19.3
-71.075,42.2483,22
-71.0677,42.2505,20.3
-71.063,42.247,20.5
-71.062,42.2435,17.3
-71.0568,42.245,18.8
-71.0518,42.2431,21.4
-71.0543,42.2395,15.7
-71.048,42.2355,16.2
-71.0519,42.235,18
-71.051,42.2368,14.3
-71.054,42.239,19.2
-71.059,42.24,19.6
-71.0555,42.2405,23
-71.0567,42.245,18.4
-71.058,42.2405,15.6
-71.062,42.2362,18.1
-71.0622,42.2335,17.4
-71.059,42.2325,17.1
-71.0645,42.2275,13.3
-71.0662,42.23,17.8
-71.068,42.2312,14
-71.0667,42.2265,14.4
-71.069,42.2222,13.4
-71.067,42.223,15.6
-71.065,42.2205,11.8
-71.07,42.219,13.8
-71.0735,42.221,15.6
-71.077,42.2222,14.6
-71.0815,42.224,17.8
-71.0918,42.223,15.4
-71.082,42.2236,21.5
-71.077,42.2205,19.6
-71.0866,42.217,15.3
-71.074,42.215,19.4
-71.0775,42.2162,17
-71.081,42.215,15.6
-71.0792,42.22,13.1
-71.087,42.2285,41.3
-71.0855,42.2245,24.3
-71.0833,42.2223,23.3
-71.094,42.2214,27
-71.1125,42.2282,50
-71.106,42.225,50
-71.0965,42.225,50
-71.1,42.2265,22.7
-71.0995,42.2295,25
-71.0966,42.2305,50
-71.1005,42.2345,23.8
-71.1065,42.2331,23.8
-71.112,42.2351,22.3
-71.1175,42.2368,17.4
-71.1115,42.239,19.1
-71.122,42.2416,23.1
-71.1408,42.245,23.6
-71.145,42.2475,22.6
-71.1216,42.2575,29.4
-71.1485,42.255,23.2
-71.134,42.2512,24.6
-71.1525,42.247,29.9
-71.1633,42.2408,37.2
-71.189,42.2345,39.8
-71.22,42.2282,36.2
-71.24,42.2287,37.9
-71.222,42.23,32.5
-71.244,42.23,26.4
-71.263,42.235,29.6
-71.2185,42.2442,50
-71.214,42.2565,32
-71.199,42.255,29.8
-71.199,42.2651,34.9
-71.1475,42.27,37
-71.15,42.2765,30.5
-71.149,42.2785,36.4
-71.1503,42.3,31.1
-71.143,42.303,29.1
-71.1435,42.2525,50
-71.138,42.2715,33.3
-71.1335,42.2725,30.3
-71.1375,42.289,34.6
-71.127,42.2425,34.9
-71.1245,42.2225,32.9
-71.1166,42.1955,24.1
-71.105,42.218,42.3
-71.0933,42.232,48.5
-71.106,42.2058,50
-71.11,42.2445,22.6
-71.121,42.2308,24.4
-71.125,42.2268,22.5
-71.1208,42.222,24.4
-71.11,42.2217,20
-71.1012,42.2177,21.7
-71.1215,42.2216,19.3
-71.116,42.225,22.4
-71.11,42.2355,28.1
-71.119,42.235,23.7
-71.13,42.2277,25
-71.1285,42.223,23.3
-71.14,42.2235,28.7
-71.134,42.222,21.5
-71.132,42.2185,23
-71.138,42.2137,26.7
-71.1485,42.2166,21.7
-71.1491,42.2134,27.5
-71.2055,42.2183,30.1
-71.2035,42.206,44.8
-71.1966,42.1975,50
-71.2138,42.2025,37.6
-71.22,42.1947,31.6
-71.232,42.185,46.7
-71.2435,42.1807,31.5
-71.2575,42.188,24.3
-71.262,42.193,31.7
-71.247,42.1946,41.7
-71.255,42.204,48.3
-71.2475,42.2142,29
-71.238,42.2141,24
-71.2435,42.211,25.1
-71.2685,42.203,31.5
-71.2807,42.1875,23.7
-71.2895,42.187,23.3
-71.269,42.164,22
-71.223,42.1645,20.1
-71.0679,42.1782,22.2
-71.0727,42.1725,23.7
-71.0765,42.163,17.6
-71.08,42.1618,18.5
-71.079,42.169,24.3
-71.0835,42.1703,20.5
-71.075,42.1767,24.5
-71.071,42.1825,26.2
-71.07,42.191,24.4
-71.0725,42.1982,24.8
-71.085,42.1935,29.6
-71.0925,42.1727,42.8
-71.098,42.1575,21.9
-71.087,42.1482,20.9
-71.094,42.145,44
-71.0982,42.2073,50
-71.117,42.2077,36
-71.1305,42.2075,30.1
-71.138,42.204,33.8
-71.1405,42.202,43.1
-71.1495,42.2,48.8
-71.1395,42.198,31
-71.148,42.203,36.5
-71.166,42.2,22.8
-71.185,42.1965,30.7
-71.1775,42.1925,50
-71.173,42.2075,43.5
-71.18,42.154,20.7
-71.2135,42.141,21.1
-71.195,42.1355,25.2
-71.148,42.1445,24.4
-71.1325,42.151,35.2
-71.155,42.1675,32.4
-71.1385,42.1733,32
-71.133,42.1632,33.2
-71.107,42.173,33.1
-71.109,42.1813,29.1
-71.118,42.188,35.1
-71.1309,42.187,45.4
-71.128,42.1848,35.4
-71.121,42.1735,46
-71.12,42.1475,50
-71.1,42.1105,32.2
-71.1035,42.1,22
-71.0875,42.0675,20.1
-71.0625,42.0775,23.2
-71.0865,42.094,22.3
-71.0465,42.098,24.8
-71.057,42.1235,28.5
-71.045,42.1408,37.3
-71.028,42.1307,27.9
-71.0138,42.11,23.9
-71.0201,42.1217,21.7
-71.016,42.1166,28.6
-71.0075,42.1108,27.1
-71.015,42.1025,20.3
-71.0075,42.0725,22.5
-71,42.059,29
-70.9795,42.0735,24.8
-70.988,42.095,22
-71.004,42.102,26.4
-71.01,42.12,33.1
-71.02,42.145,36.1
-71.0085,42.1525,28.4
-70.9975,42.159,33.4
-70.99,42.1565,28.2
-70.9834,42.1555,22.8
-70.9895,42.16,20.3
-71,42.176,16.1
-70.9995,42.178,22.1
-71.01,42.167,19.4
-71.0275,42.1613,21.6
-71.0415,42.153,23.8
-71.025,42.158,16.2
-71.0115,42.1485,17.8
-70.996,42.1425,19.8
-70.9795,42.15,23.1
-70.965,42.151,21
-70.97,42.129,23.8
-70.976,42.134,23.1
-70.9602,42.1367,20.4
-70.9633,42.1375,18.5
-70.9675,42.1265,25
-70.965,42.1066,24.6
-70.8875,42.1175,23
-70.915,42.1215,22.2
-70.937,42.113,19.3
-70.9325,42.115,22.6
-70.947,42.098,19.8
-70.9501,42.0865,17.1
-70.9275,42.0895,19.4
-70.92,42.0995,22.2
-70.855,42.101,20.7
-70.833,42.115,21.1
-70.83,42.128,19.5
-70.81,42.127,18.5
-70.83,42.1374,20.6
-70.853,42.144,19
-70.8525,42.1503,18.7
86,42.1465,32.7
86,42.16,16.5
86,42.1475,23.9
86,42.123,31.2
86,42.0725,17.5
86,42.0825,17.2
86,42.0795,23.1
87,42.1016,24.5
87,42.13,26.6
87,42.115,22.9
87,42.0775,24.1
88,42.059,18.6
88,42.0485,30.1
88,42.052,18.2
88,42.03,20.6
